day,hour,PULocationID,DOLocationID,trip_duration
Friday,12,259,32,991.0
Friday,13,259,32,630.0
Friday,13,259,32,899.0
Friday,14,259,32,795.0
Friday,14,259,32,1943.0
Friday,14,259,32,1146.0
Friday,15,259,32,989.0
Friday,16,259,32,757.0
Friday,16,259,32,980.0
Friday,16,259,32,1056.0
Friday,17,259,32,1069.0
Friday,17,259,32,828.0
Friday,17,259,32,946.0
Friday,18,259,32,847.0
Friday,18,259,32,1262.0
Friday,20,259,32,654.0
Friday,20,259,32,768.0
Friday,20,259,32,743.0
Friday,20,259,32,977.0
Friday,21,259,32,1127.0
Friday,21,259,32,621.0
Friday,22,259,32,644.0
